name,price,brand,instock,rating,rating_count
"Remote Control Dinosaur Toys - (Rechargeable) 2.4Ghz RC Walking Robot Velociraptor with LED Eye, Roaring Sound, Shaking Head & Tail, Jurassic Dino Electronic Toys Gifts for Boys & Girls 5-9 Years Old",37.99,,In stock,4.3 out of 5 stars,302 ratings
"Remote Control Dinosaur Toy, 8 Channel 2.4G Tyrannosaurus Rex with Spray Function and Cool 360° Rotating Stunt, It Glows and Makes Realistic Roar, Suitable for 3, 4, 5, 6, 7, 8 Boys and Girls（green）",42.99,,In stock,4.0 out of 5 stars,39 ratings
"Jurassic World Dominion Roar Strikers Iguanadon Dinosaur Action Figure with Attack Motion and Sound, Toy Gift with Physical and Digital Play​",12.99,,In stock,4.9 out of 5 stars,13 ratings
"​Jurassic World Dominion Survival Instincts Dinosaur Toys, set of 4 Action Figures, Blue, Dilophosaurus and Roar Strikers Megaraptor and Pteranodon Figures ​​",37.95,,In stock,4.6 out of 5 stars,79 ratings
"LEGO 76946 Jurassic World Blue and Beta Velociraptor Capture with Truck and 2 Dinosaur Toys for Kids, 2022 Dominion Movie Inspired Set",22.99,LEGO,In stock,4.8 out of 5 stars,"2,662 ratings"
"Jurassic World Dominion Super Colossal Giganotosaurus Action Figure with Eating Feature, Extra Large Toy Dinosaur at 39in Long, GWD68",41.99,,In stock,4.7 out of 5 stars,731 ratings
"Jurassic World Dominion Roar Strikers Triceratops Dinosaur Action Figure with Roaring Sound and Attack Action, Toy Gift Physical & Digital Play ​​​",10.5,,In stock,4.8 out of 5 stars,939 ratings
"LEGO 76946 Jurassic World Blue and Beta Velociraptor Capture with Truck and 2 Dinosaur Toys for Kids, 2022 Dominion Movie Inspired Set",22.99,LEGO,In stock,4.8 out of 5 stars,"2,662 ratings"
JoyKip Dinosaur Toys for Boys & Girls - Educational Realistic Dinosaur Playset Jurassic World Figures with a Play Mat Learning toys for Ages 3+ Birthday,16.99,JoyKip,In stock,4.4 out of 5 stars,40 ratings
"LEGO 76945 Jurassic World Atrociraptor Dinosaur: Bike Chase Set, Dinosaur Toys for Boys, Girls, Kids Age 6 Plus, with 3 Dino Figures and Toy Motorbike",17.99,LEGO,In stock,4.8 out of 5 stars,"1,900 ratings"
